AssetID,AssetName,AssetNodeId,MeasurementPointID,MeasurementPointName,PhysicalQuantity,Unit of Measure,Prefix,AccesRights,DataType
20005,WVI-00000002.GK-TST-02.Alarms.Alarm_20005,GK-TST-02.Alarms.Alarm_20005,20005,ErrorActive,NoQuantity,NoUoM,NoPrefix,Read,Int16
20006,WVI-00000002.GK-TST-02.Alarms.Alarm_20006,GK-TST-02.Alarms.Alarm_20006,20006,ErrorActive,NoQuantity,NoUoM,NoPrefix,Read,Int16
20007,WVI-00000002.GK-TST-02.Alarms.Alarm_20007,GK-TST-02.Alarms.Alarm_20007,20007,ErrorActive,NoQuantity,NoUoM,NoPrefix,Read,Int16
20008,WVI-00000002.GK-TST-02.Alarms.Alarm_20008,GK-TST-02.Alarms.Alarm_20008,20008,ErrorActive,NoQuantity,NoUoM,NoPrefix,Read,Int16
20009,WVI-00000002.GK-TST-02.Alarms.Alarm_20009,GK-TST-02.Alarms.Alarm_20009,20009,ErrorActive,NoQuantity,NoUoM,NoPrefix,Read,Int16
20010,WVI-00000002.GK-TST-02.Alarms.Alarm_20010,GK-TST-02.Alarms.Alarm_20010,20010,ErrorActive,NoQuantity,NoUoM,NoPrefix,Read,Int16
20011,WVI-00000002.GK-TST-02.Alarms.Alarm_20011,GK-TST-02.Alarms.Alarm_20011,20011,ErrorActive,NoQuantity,NoUoM,NoPrefix,Read,Int16
20012,WVI-00000002.GK-TST-02.Alarms.Alarm_20012,GK-TST-02.Alarms.Alarm_20012,20012,ErrorActive,NoQuantity,NoUoM,NoPrefix,Read,Int16
21000,WVI-00000002.GK-TST-02.Alarms.Alarm_21000,GK-TST-02.Alarms.Alarm_21000,21000,ErrorActive,NoQuantity,NoUoM,NoPrefix,Read,Int16
21001,WVI-00000002.GK-TST-02.Alarms.Alarm_21001,GK-TST-02.Alarms.Alarm_21001,21001,ErrorActive,NoQuantity,NoUoM,NoPrefix,Read,Int16
22000,WVI-00000002.GK-TST-02.Alarms.Alarm_22000,GK-TST-02.Alarms.Alarm_22000,22000,ErrorActive,NoQuantity,NoUoM,NoPrefix,Read,Int16
30000,WVI-00000002.GK-TST-02.Alarms.Alarm_30000,GK-TST-02.Alarms.Alarm_30000,30000,ErrorActive,NoQuantity,NoUoM,NoPrefix,Read,Int16
30001,WVI-00000002.GK-TST-02.Alarms.Alarm_30001,GK-TST-02.Alarms.Alarm_30001,30001,ErrorActive,NoQuantity,NoUoM,NoPrefix,Read,Int16
30002,WVI-00000002.GK-TST-02.Alarms.Alarm_30002,GK-TST-02.Alarms.Alarm_30002,30002,ErrorActive,NoQuantity,NoUoM,NoPrefix,Read,Int16
30003,WVI-00000002.GK-TST-02.Alarms.Alarm_30003,GK-TST-02.Alarms.Alarm_30003,30003,ErrorActive,NoQuantity,NoUoM,NoPrefix,Read,Int16
30004,WVI-00000002.GK-TST-02.Alarms.Alarm_30004,GK-TST-02.Alarms.Alarm_30004,30004,ErrorActive,NoQuantity,NoUoM,NoPrefix,Read,Int16
30005,WVI-00000002.GK-TST-02.Alarms.Alarm_30005,GK-TST-02.Alarms.Alarm_30005,30005,ErrorActive,NoQuantity,NoUoM,NoPrefix,Read,Int16
30006,WVI-00000002.GK-TST-02.Alarms.Alarm_30006,GK-TST-02.Alarms.Alarm_30006,30006,ErrorActive,NoQuantity,NoUoM,NoPrefix,Read,Int16
30007,WVI-00000002.GK-TST-02.Alarms.Alarm_30007,GK-TST-02.Alarms.Alarm_30007,30007,ErrorActive,NoQuantity,NoUoM,NoPrefix,Read,Int16
30008,WVI-00000002.GK-TST-02.Alarms.Alarm_30008,GK-TST-02.Alarms.Alarm_30008,30008,ErrorActive,NoQuantity,NoUoM,NoPrefix,Read,Int16
30009,WVI-00000002.GK-TST-02.Alarms.Alarm_30009,GK-TST-02.Alarms.Alarm_30009,30009,ErrorActive,NoQuantity,NoUoM,NoPrefix,Read,Int16
30010,WVI-00000002.GK-TST-02.Alarms.Alarm_30010,GK-TST-02.Alarms.Alarm_30010,30010,ErrorActive,NoQuantity,NoUoM,NoPrefix,Read,Int16
